apartment_type,bedroom,bathroom,toilet,location,price
Self contain (single rooms) for rent,1.0,1.0,5.0,"  Van Daniel Estate Orchid Road, Lekki, Lagos",900000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Sangotedo, Sangotedo, Ajah, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  United Estate, Sangotedo, Ajah, Lagos",700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ogombo, Ogombo, Ajah, Lagos",900000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Off Victoria Ariebieke Street, Lekki Phase 1, Lekki, Lagos",2600000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Adekunle, Yaba, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Badore, Ajah, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ogudu, Lagos",1800000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Pedro, Gbagada, Lagos",600000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Adetola, Aguda, Surulere, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Saint Agnes, Yaba, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Badore, Ajah, Lagos",1000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Orchid Road, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,1.0,"  Villa, Ikota, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Phase 1 Estate, Osborne, Ikoyi, Lagos",6000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Badore, Ajah, Lagos",400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Jade Ville Estate, Chevron Alternative Route By 2nd Toll Gate, Lekki, Lagos",1800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",7000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Badore, Ajah, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikoyi, Ikoyi, Lagos",8000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Ilasan, Lekki, Lagos",1400000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikate Elegushi, Lekki, Lagos",4500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikate, Lekki, Lagos",6500000
2 bedroom flat / apartment for rent,2.0,3.0,2.0,"  Ilasan, Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Chisco, Ikate Elegushi, Lekki, Lagos",1800000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Itedo Estate Freedom Way, Lekki Phase 1, Lekki, Lagos",3000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Lekan Carena Street Fidiso Estate, Abijo, Lekki, Lagos",400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ikoyi, Lagos",4000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Chevron Drive, Lekki, Lagos",3000000
Flat / apartment for rent,1.0,1.0,1.0,"  Silver Creek Court, Orchid Road, Eleganza Bustop, Lekki Phase 2, Lekki, Lagos",1700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Victoria Bay Estate, Off Chevron Toll Gate, Orchid Road, Lekki, Lagos",5400000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Atican Beach, Abraham Adesanya - Ogombo Road, Okun-Ajah, Ajah, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Jibowu, Yaba, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Dominion Estate, Olokonla, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Thomas Estate, Ajah, Lagos",1800000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Avera Estate, Olokonla, Ajah, Lagos",1200000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Along Mobil Road, Ilaje, Ajah, Lagos",800000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Durosimi, Lekki Phase 1, Lekki, Lagos",2000000
Self contain (single rooms) for rent,1.0,1.0,3.0,"  Along Mobil Road, Ilaje, Ajah, Lagos",550000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Queens Drive, Ikoyi, Lagos",18000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Alapere, Ogudu, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Off Kofo Abayomi Street, Victoria Island (VI), Lagos",25000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Bera Estate, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron Axis, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Aderupoko, Ahmadiyah, Abule Egba, Agege, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Victoria Island (VI), Lagos",10000000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Shoprite, Sangotedo, Ajah, Lagos",450000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Mobil Road, Ilaje, Ajah, Lagos",1600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",15500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Oniru, Victoria Island (VI), Lagos",8000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Chevron Road, Lekki, Lagos",450000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Off Freedom Way Ikate, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ologolo, Lekki, Lagos",2300000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Liberty Estate, Amuwo Odofin, Lagos",1800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Osapa London, Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ff Orchid, Lekki, Lagos",1500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Orchid , Van Daniel, Lekki Phase 2, Lekki, Lagos",900000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Orchid, Van Daniels, Lekki Phase 2, Lekki, Lagos",1400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Chisco Bustop, Ikate, Lekki, Lagos",1800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",3000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Ajose Adeogun Street, Victoria Island (VI), Lagos",1700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Ligali Ayorinde Street, Victoria Island (VI), Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Alaja, Ayobo, Lagos",1200000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Chevron Toll Gate, Orchid Road, Lekki, Lagos",1400000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Abraham Adesanya Estate, Ajah, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Banana Island, Ikoyi, Lagos",35000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Mende, Maryland, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Green Lite Estate, Alatise, Eleko, Ibeju Lekki, Lagos",25000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Atlantic View Estate, Lekki, Lagos",1700000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ikota Villa, Lekki, Lagos",700000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Villa Estate, Ikota, Lekki, Lagos",2500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Ajayi Road Oke-ira, Ogba, Ikeja, Lagos",650000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Along Mobil Road, Ilaje, Ajah, Lagos",1500000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Thomas Estate, Ajah, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Along Mobil Road, Ilaje, Ajah, Lagos",1800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ado Road, Ajah, Lagos",3000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Along Mobil Road, Ilaje, Ajah, Lagos",1500000
1 bedroom flat / apartment for rent,1.0,3.0,4.0,"  First Unity Estate, Cooperative, Badore, Ajah, Lagos",450000
Self contain (single rooms) for rent,1.0,1.0,5.0,"  Orchid Road Lekki Lagos, Royal Pine Estate, Lekki, Lagos",950000
3 bedroom flat / apartment for rent,3.0,2.0,3.0,"  Adeola Hopewell, Victoria Island (VI), Lagos",7000000
1 bedroom flat / apartment for rent,1.0,1.0,2.0,"  Van Daniels Estate, Orchid, Lekki Phase 2, Lekki, Lagos",1400000
Self contain (single rooms) for rent,1.0,1.0,4.0,"  Van Daniels Estate, Orchid, Lekki Phase 2, Lekki, Lagos",900000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Around Bode Thomas, Surulere, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Estate Yaba, Yaba, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,2.0,2.0,"  Off Enitan Road Surulere Lagos, Aguda, Surulere, Lagos",1400000
Self contain (single rooms) for rent,1.0,1.0,6.0,"  Badore, Ajah, Lagos",450000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ikate, Lekki, Lagos",3500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ado Road, Ajah, Lagos",800000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Folagoro, Abule Ijesha, Yaba, Lagos",500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Aguda, Ogba, Ikeja, Lagos",250000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Prime Water View Garden 1, Lekki Phase 1, Lekki, Lagos",4000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Sangotedo, Ajah, Lagos",700000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Off Admiralty Wey Lekki Phase One, Lekki Phase 1, Lekki, Lagos",10000000
2 bedroom flat / apartment for rent,2.0,5.0,2.0,"  Off Ekoro, Captain, Abule Egba, Agege, Lagos",800000
3 bedroom flat / apartment for rent,3.0,3.0,1.0,"  Parkview Estate, Ikoyi, Lagos",9500000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Ikorodu, Lagos",600000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Ikorodu, Lagos",500000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Lekki Scheme 2, Ajah, Lagos",1200000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Lakowe, Ibeju Lekki, Lagos",700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Ado Road, Ajah, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Aptech Road Sangotedo, Ajah Lagos., Ajah, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikeja GRA, Ikeja, Lagos",25000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off Morris Street Abule Ijesha Junction, Yaba, Lagos",800000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru, Ikate, Lekki, Lagos",9000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Oniru Estate, Oniru, Victoria Island (VI), Lagos",6500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Chevron, Lekki, Lagos",4500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Agungi, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Ikate, Lekki, Lagos",4500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Pinnock Beach Estate, Osapa, Lekki, Lagos",4500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Alapere Housing Estate, Alapere, Ketu, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Cannan Estate, Sangotedo, Ajah, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Harmony Estate Off Langbasa Road, Ajah, Lagos",750000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ologolo, Lekki, Lagos",2500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Off Yabatech Road, Morocco Bus-stop, Yaba, Lagos",1200000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Off University Of Lagos, Akoka, Yaba, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,5.0,3.0,"  Golf Estate, Lakowe, Ibeju Lekki, Lagos",1200000
5 bedroom flat / apartment for rent,5.0,5.0,6.0,"  Banana Island, Ikoyi, Lagos",60000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Golf Estate, Lakowe, Ibeju Lekki, Lagos",1200000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Ikota Gra, Ikota, Lekki, Lagos",600000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",10000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Chevron Tollgate, Lekki, Lagos",2100000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Conservation Road, Chevron Tollgate, Lekki, Lagos",3200000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Hopeville, Sangotedo, Ajah, Lagos",1400000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Well Secured Estate, Sangotedo, Ajah, Lagos",2000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  1004, Victoria Island (VI), Lagos",8000000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,3.0,"  Badore, Badore, Ajah, Lagos",800000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Old Ikoyi, Ikoyi, Lagos",25000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Jibowu, Yaba, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",4500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",12000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  New Road, Igbo Efon, Lekki, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Osapa, Lekki, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Lekki Scheme 2, Ajah, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Victoria Island (VI), Lagos",10000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Behind Shoprite, Osapa, Lekki, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Agungi, Lekki, Lagos",2400000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Ikota, Lekki, Lagos",3500000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Royal Pine Estate, Orchid Road, Lekki, Lagos",1500000
5 bedroom flat / apartment for rent,5.0,5.0,6.0,"  Belenco Supermarket Behind, Sangotedo, Ajah, Lagos",5000000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Aptech Road, Sangotedo, Ajah, Lagos",1700000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Van Daniel Estate Orchid Road Lekki, Ajah, Lagos",1400000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Badore, Ajah, Lagos",650000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Sangotedo, Ajah, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Sangotedo ( Value County ), Ajah, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Badore, Ajah, Lagos",800000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Badore, Ajah, Lagos",600000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Freedom Way, Lekki, Lagos",1500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ogombo, Ajah, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,2.0,"  Losoro Area, Lakowe, Ibeju Lekki, Lagos",550000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Adeba, Lakowe, Ibeju Lekki, Lagos",650000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Golf Axis, Lakowe, Ibeju Lekki, Lagos",750000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Lakowe, Ibeju Lekki, Lagos",700000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ologolo, Lekki, Lagos",2300000
2 bedroom flat / apartment for rent,2.0,3.0,3.0,"  Ilasan, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Thomas Estate, Ajah, Lagos",2000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Thomas Estate, Ajah, Lagos",1900000
Self contain (single rooms) for rent,1.0,1.0,5.0,"  No 10 Segun Street Mobile Road Ajah, Queen Court !, Lekki Phase 2, Lekki, Lagos",600000
2 bedroom flat / apartment for rent,2.0,2.0,5.0,"  Orchid Road, Lekki, Lagos",50000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Thomas Estate, Ajah, Lagos",1000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Thomas Estate, Ajah, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Thomas Estate, Ajah, Lagos",1700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Orchid Road, Lekki, Lagos",2000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Orchid Road Lekki Before Round About, Lekki, Lagos",2500000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Agungi, Lekki, Lagos",750000
4 bedroom flat / apartment for rent,4.0,4.0,4.0,"  Ikoyi, Lagos",25000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Right, Lekki Phase 1, Lekki, Lagos",6000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",6000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Lekki Phase 1, Lekki, Lagos",10000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Badore, Badore, Ajah, Lagos",1700000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Buordilon, Old Ikoyi, Ikoyi, Lagos",16000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate, Lekki, Lagos",5500000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  1, Ola Adigun Close, Off Alpha Beach Road, Eti-osa, Lekki., Lekki, Lagos",1500000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Sage Apartments, 1, Ola Adigun Close, Off Alpha Beach Road, Eti-osa,, Lekki, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Hope Ville Estate, Sangotedo, Ajah, Lagos",700000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Onikoyi, Old Ikoyi, Ikoyi, Lagos",15000000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Emerald Court, Lbs, Ajah, Lagos",1300000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Banana Island, Ikoyi, Lagos",23000000
Self contain (single rooms) for rent,1.0,1.0,2.0,"  Ocean Palm Estate, Sangotedo, Ajah, Lagos",800000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Imperial Homes, Royal Pine Estate , On Chevron, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikota, Lekki, Lagos",3000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Orchid, Lekki, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Off Alpha Beach Road, Lekki, Lagos",3000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Newroad, Opposite Chevron, Lekki, Lagos",1000000
3 bedroom flat / apartment for rent,3.0,3.0,3.0,"  Old Ikoyi, Ikoyi, Lagos",10500000
Self contain (single rooms) for rent,1.0,1.0,5.0,"  Ikota, Lekki, Lagos",900000
1 bedroom flat / apartment for rent,1.0,1.0,1.0,"  Agungi, Lekki, Lagos",850000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate, Lekki, Lagos",3500000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Epe, Lagos",200000
4 bedroom flat / apartment for rent,4.0,4.0,4.0,"  Osapa London In Willows Green Estate, Lekki, Lagos",5000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Off Ajayi Road Ogba Ikeja Lagos Nigerian, Ogba, Ikeja, Lagos",550000
4 bedroom flat / apartment for rent,4.0,4.0,4.0,"  Lekki Phase 1, Lekki, Lagos",12000000
4 bedroom flat / apartment for rent,4.0,4.0,5.0,"  Lekki Scheme 2, Ajah, Lagos",3500000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Lekki Scheme 2, Ajah, Lagos",1700000
1 bedroom mini flat (room and parlour) for rent,1.0,2.0,2.0,"  Peninsula Garden Estate, Sangotedo, Ajah, Lagos",1300000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  Yaba, Lagos",700000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,2.0,"  Sabo, Yaba, Lagos",1200000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Ikoyi Lagos, Ikoyi, Lagos",18000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",6000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Victoria Island (VI), Lagos",9000000
Self contain (single rooms) for rent,1.0,1.0,1.0,"  John Okafor Estate, Agungi, Lekki, Lagos",1000000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Value County Estate, Sangotedo, Ajah, Lagos",1300000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ikate Elegushi, Lekki, Lagos",5500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Chevron Drive, Lekki, Lagos",5000000
3 bedroom flat / apartment for rent,3.0,4.0,4.0,"  Off Herbert Macaulay, Saint Agnes, Yaba, Lagos",3000000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  8 Balarabe Musa Crescent, Near 1004 Flats, Victoria Island (VI), Lagos",3500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Oniru, Lekki Phase 1, Lekki, Lagos",7000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",8000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",5000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki Phase 1, Lekki, Lagos",8500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Orchid Road, Lekki Phase 2, Lekki, Lagos",4000000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Olokonla, Lekki Phase 2, Lekki, Lagos",2500000
3 bedroom flat / apartment for rent,3.0,3.0,4.0,"  Lekki, Lagos",3200000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Ajah, Lagos",2500000
2 bedroom flat / apartment for rent,2.0,1.0,1.0,"  Off Kilo Road, Kilo, Surulere, Lagos",1200000
1 bedroom mini flat (room and parlour) for rent,1.0,1.0,1.0,"  Lekki Phase 1, Lekki, Lagos",1600000
2 bedroom flat / apartment for rent,2.0,2.0,3.0,"  Omole Extension, Omole Phase 2, Ikeja, Lagos",2500000
